"Date","RateTypeDescription","StartDate","EndDate","Usage","Duration","MaxTemp","MinTemp","Rain_mm","Solar_Exposure"
2019-12-21,"Generalusage",2019-12-21 00:00:00,2019-12-21 00:29:59,0.114,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 00:30:00,2019-12-21 00:59:59,0.101,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 01:00:00,2019-12-21 01:29:59,0.111,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 01:30:00,2019-12-21 01:59:59,0.112,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 02:00:00,2019-12-21 02:29:59,0.11,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 02:30:00,2019-12-21 02:59:59,0.233,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 03:00:00,2019-12-21 03:29:59,0.129,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 03:30:00,2019-12-21 03:59:59,0.139,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 04:00:00,2019-12-21 04:29:59,0.145,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 04:30:00,2019-12-21 04:59:59,0.116,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 05:00:00,2019-12-21 05:29:59,0.127,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 05:30:00,2019-12-21 05:59:59,0.175,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 06:00:00,2019-12-21 06:29:59,0.21,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 06:30:00,2019-12-21 06:59:59,0.157,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 07:00:00,2019-12-21 07:29:59,0.22,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 07:30:00,2019-12-21 07:59:59,0.2,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 08:00:00,2019-12-21 08:29:59,0.147,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 08:30:00,2019-12-21 08:59:59,0.115,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 09:00:00,2019-12-21 09:29:59,0.104,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 09:30:00,2019-12-21 09:59:59,0.132,30,26.7,21,0,27.1
2019-12-21,"Generalusage",2019-12-21 10:00:00,2019-12-21 10:29:59,0.186,30,26.7,21,0,27.1
