SA1_2021,IER_2021
10102100701,1023.037282
10102100702,1088.576036
10102100703,986.1022032
10102100704,965.4964701
10102100705,1013.432808
10102100706,1042.640522
10102100707,1035.843559
10102100708,1060.51644
10102100709,1089.600613
10102100710,995.4410339
10102100801,1025.076217
10102100802,1086.651394
10102100803,855.7806404
10102100804,862.2801394
10102100805,741.7740409
10102100806,1017.585317
10102100807,958.1790543
10102100808,968.194043
10102100810,1125.960432
10102100811,1027.951039
10102100812,1113.15192
10102100813,1115.196858
10102100814,1053.429743
10102100815,911.6277386
10102100816,865.4077065
10102100817,1024.734
10102100818,934.2565832
10102100819,1118.579369
10102100820,1005.529615
10102100821,1098.409531
10102100822,1106.283179
10102100823,991.8783384
10102100901,1026.06366
10102100902,1111.608982
10102100904,1069.092705
10102100905,1021.508391
10102100907,925.7742286
10102100908,903.2787889
10102100909,877.603057
10102100910,849.4559263
10102100911,911.38262
10102100912,981.9470404
10102100913,1010.701932
10102100914,995.5692368
10102100915,891.797963
10102100916,965.0146579
10102100917,804.1577343
10102100918,998.0564248
10102100919,953.7104525
10102100920,833.1847987
10102100921,936.7720744
10102100923,1019.41282
10102100924,-
10102100925,928.831368
10102100926,881.4066933
10102100927,1043.147028
10102100928,891.1284925
10102100929,869.8595472
10102101001,880.4925919
10102101002,1172.367031
10102101003,1126.343399
10102101004,1063.152813
10102101006,808.7349845
10102101007,876.7076895
10102101008,889.929892
10102101009,1000.632604
10102101010,910.6027732
10102101012,942.0901141
10102101014,1152.615409
10102101015,879.3366779
10102101016,1107.976701
10102101017,958.7143319
10102101201,1081.115447
10102101202,1219.859189
10102101203,1144.748614
10102101204,1235.509932
10102101205,1197.599676
10102101206,1218.653427
10102101207,1082.659945
10102101208,1040.636999
10102101209,1193.322033
10102101210,1093.974926
10102101211,1167.658521
10102101212,1105.043983
10102101213,1150.97522
10102101214,1150.853684
10102101215,1068.791905
10102101216,1120.117302
10102101217,1007.45308
10102101218,1070.553737
10102101219,959.4872051
10102101220,1029.092625
10102101221,1065.899734
10102101222,1126.130869
10102101223,1052.156822
10102101224,1136.845175
10102101227,1225.693718
10102101228,1069.570795
10102101229,911.8512999
10102101230,911.382971
10102101231,1093.335149
10102101232,1161.525537
10102161001,1061.839625
10102161002,1205.402536
10102161003,1150.793858
10102161004,1134.975574
10102161005,1195.925078
10102161006,1221.47372
10102161007,1109.20044
10102161008,1147.289438
10102161009,1170.972419
10102161010,1125.255791
10102161011,1174.030746
10102161012,1216.782403
10102161013,1193.570173
10102161014,1178.462616
10102161015,1178.502541
10102161101,1142.230216
10102161102,1154.189245
10102161103,1170.413362
10102161104,1111.168719
10102161105,1164.61588
10102161106,1183.90088
10102161107,1062.129139
10102161108,1150.4852
10102161109,1176.326566
10102161110,1138.564144
10102161111,1034.935989
10102161112,1185.727706
10102161113,1150.172286
10102161114,1045.598946
10102161115,1118.532735
10102161116,1152.400673
10102161117,1167.269323
10102161118,1172.758312
10102161119,1183.23859
10102161120,1037.620695
10102161121,1126.770437
10102161122,1133.239373
10102161123,1001.338647
10102161124,1102.770873
10102161125,1109.763654
10102161126,1070.694859
10102161127,1154.128601
10102161128,1217.928591
10102161129,1139.12622
10102161130,977.1318905
10102161131,1138.123708
10102161132,1163.869177
10102161133,1193.771301
10102161134,1116.593636
10102161135,1163.960283
10102161136,1187.578574
10102161137,1113.146663
10102161138,1192.227017
10102161139,1176.605293
10102161140,1155.942401
10102161141,1219.197645
10102161142,1160.718317
10102161143,1197.981943
10102161144,1067.924573
10102161145,1139.158039
10102161146,1140.588315
10103101301,887.7760153
10103101302,922.650006
10103101303,933.232515
10103101304,971.2206117
10103101305,1043.438408
10103101306,1080.169809
10103101307,958.7969105
10103101308,1043.665239
10103101401,912.8506873
10103101402,937.3857076
10103101403,939.9102907
10103101404,910.6189532
10103101405,925.929557
10103101406,996.5718216
10103101407,1002.303403
10103101408,991.0361007
10103101409,996.8770624
10103101410,934.1519643
10103101411,916.0579935
10103101412,980.3289613
10103101414,1051.435151
10103101415,987.2757713
10103101417,-
10103101419,996.2103469
10103101420,1109.850538
10103101421,870.9565802
10103101503,951.4864484
10103101505,1100.261221
10103101511,968.9526267
10103101512,1057.393091
10103101514,1166.406627
10103101515,1037.998472
10103101516,1117.608279
10103101517,1027.226337
10103101518,1116.345569
10103101519,1117.070975
10103101520,1067.564302
10103101521,1083.86865
10103101523,1071.14747
10103101524,1054.76548
10103101525,1078.922057
10103101526,1074.85579
10103101602,928.4142108
10103101603,1032.21389
10103101604,1018.762966
10103101605,1056.992357
10103101606,1088.073342
10103101607,1001.112863
10103101608,1077.341672
10103101611,921.717703
10103101612,-
10103101614,941.5620478
10103101615,1029.713188
10103101616,923.1911322
10103101617,902.5488063
10103101619,1015.144192
10103101620,968.358524
10103101621,983.4707581
10103101622,1116.788786
10103101623,1043.967091
10103101625,1111.432803
10103101626,1072.515051
10103101627,1076.779417
10104101701,907.7995883
10104101702,991.6200447
10104101703,987.460099
10104101704,870.9585956
10104101705,797.2649763
10104101706,832.2373418
10104101708,967.0188894
10104101709,1052.38891
10104101710,1053.591469
10104101711,1072.631567
10104101713,941.5640827
10104101716,934.8746599
10104101717,891.5998752
10104101718,831.9856798
10104101719,984.3160579
10104101720,1013.500761
10104101721,928.0842548
10104101722,975.6589096
10104101723,972.7469061
10104101724,1096.48074
10104101801,1024.566656
10104101802,1048.315572
10104101803,1109.581442
10104101804,974.9553856
10104101805,1078.587539
10104101806,917.2058455
10104101807,968.2938084
10104101808,929.7473287
10104101809,996.5270931
10104101810,954.6085029
10104101811,1002.856995
10104101812,914.4635963
10104101813,1034.854982
10104101814,1008.302471
10104101815,1021.313891
10104101816,968.0468086
10104101817,1046.263169
10104101818,1018.543196
10104101819,985.3783109
10104101820,916.548687
10104101821,1017.356291
10104101822,943.2061762
10104101823,856.2450437
10104101901,882.6809799
10104101902,862.4298011
10104101903,849.7386449
10104101904,947.3287741
10104101905,836.5391262
10104101906,988.5043834
10104101907,967.6569962
10104101911,984.8480133
10104101912,1013.549167
10104101913,999.0266631
10104101915,1071.101247
10104101917,1070.542101
10104101918,1058.188008
10104101919,997.6111864
10104101920,928.8053007
10104101921,1060.069639
10104101924,1054.990316
10104101925,865.9163133
10104101926,929.7493646
10104101927,1060.138764
10104101928,1023.341857
10104101929,931.9862214
10104101931,976.2196872
10104101932,1068.393685
10104101933,1030.076663
10104102001,1071.491407
10104102002,1052.437128
10104102003,1032.232533
10104102004,1029.504039
10104102005,981.3480005
10104102006,933.0188642
10104102007,1063.565493
10104102008,1025.188709
10104102011,1014.815611
10104102013,932.6465915
10104102014,1041.230804
10104102015,1001.913676
10104102016,963.5078803
10104102017,1011.181899
10104102018,989.2208945
10104102019,997.9054437
10104102020,997.2440747
10104102022,964.1050421
10104102023,1065.182592
10104102024,978.9983665
10104102025,963.8112422
10104102026,1059.40186
10104102027,1023.49628
10104102028,1039.154039
10104102029,976.2241808
10104102030,919.1342779
10104102031,1063.744871
10104102032,933.3316366
10104102102,1003.891185
10104102104,995.4372568
10104102105,1044.52786
10104102106,970.4190269
10104102107,1041.850429
10104102108,1038.201423
10104102110,992.664031
10104102111,1043.030793
10104102201,989.0445745
10104102301,887.9830981
10104102302,1003.08655
10104102303,1061.07642
10104102304,988.3196519
10104102305,903.9082884
10104102306,950.1665083
10104102307,857.7386491
10104102308,838.1929157
10104102309,948.3106867
10104102401,1002.841543
10104102402,1021.19554
10104102403,923.9426184
10104102404,1027.829657
10104102405,989.8818184
10104102406,1056.353421
10104102407,1042.4362
10104102408,915.3880361
10104102409,1023.67385
10104102410,1020.162472
10104102411,1004.766779
10104102412,1039.504534
10104102502,954.4431596
10104102503,862.2752094
10104102504,877.4304445
10104102505,910.5791689
10104102506,978.0066099
10104102507,1082.160281
10104102508,997.4481962
10104102509,1061.576376
10104102510,1073.646457
10104102511,1012.773707
10104102512,1006.160992
10104102513,1037.830347
10104102514,928.9356378
10104102516,1024.433711
10104102517,1019.305825
10104102518,1053.802264
10104102519,1043.596919
10104102520,981.0848348
10104102521,944.7007547
10104102522,1025.036461
10104102523,1060.540881
10104102524,1101.892137
10104102525,970.2694513
10104102526,1065.859301
10104102527,1027.21312
10104102528,910.7940507
10104102529,907.3413796
10104102530,1020.053187
10104102532,938.6779941
10104102601,996.7780512
10104102603,990.2681706
10104102604,985.7513084
10104102605,975.1036385
10104102606,1050.951635
10104102607,1018.293642
10104102608,933.7929877
10104102609,918.342371
10104102610,935.9333013
10104102611,1044.821563
10104102613,976.9245086
10104102614,1011.857036
10104102615,1022.823388
10104102616,1064.603951
10104102617,1034.552778
10104102618,1042.425141
10104102619,1065.100738
10104102620,907.4239888
10104102621,981.7655769
10104102622,1005.49435
10104102623,880.3219587
10104102624,959.6338232
10104102625,1044.210275
10104102626,981.830174
10104102627,1054.825582
10104102701,986.555062
10104102702,853.1020149
10104102703,1077.831633
10104102704,918.2304479
10104102705,909.6168648
10104102706,955.5726484
10104102707,964.4950382
10104102708,984.6539284
10104102709,1033.2124
10104102710,1016.826661
10104102712,1016.83995
10104102713,1069.741561
10104102715,1003.346301
10104102719,954.3187441
10104102720,1025.745439
10104102721,976.8289565
10104102722,764.0873689
10104102723,980.6220727
10104102724,1047.708235
10104102725,979.7424907
10104102726,1057.313699
10104102728,888.775632
10104102729,901.8847486
10104102730,1039.227426
10104102731,937.317476
10104102732,979.919373
10104102733,979.0901464
10105153901,1169.826622
10105153902,958.6915294
10105153903,950.4945334
10105153904,910.0446833
10105153905,915.4326536
10105153906,918.7142932
10105153909,814.8736418
10105153910,821.6534323
10105153911,1009.356973
10105153912,1010.503418
10105153913,941.0720021
10105153914,1071.766753
10105153915,928.5433833
10105153916,1123.471813
10105153917,954.8484106
10105153918,839.3225648
10105153919,908.0435131
10105153920,1031.412001
10105153921,993.2856931
10105153922,1103.81847
10105153923,1060.551016
10105153924,796.5824696
10105153925,896.8702205
10105153926,893.5252276
10105153927,1037.140941
10105153928,1024.269536
10105153929,928.4969595
10105153930,1089.303022
10105153931,864.5777824
10105153932,946.1314064
10105153933,938.8943594
10105153934,879.6859216
10105153935,900.9947733
10105153936,953.1787749
10105153937,809.6750016
10105153938,989.5853798
10105153939,950.7910687
10105153940,895.383972
10105153941,959.8483081
10105153942,907.0138396
10105153943,1020.635831
10105153944,955.7513889
10105153945,916.7016291
10105153946,1069.822777
10105153947,923.7666539
10105153948,855.1989889
10105153949,956.9223885
10105153950,973.024325
10105153951,1034.320422
10105153952,1037.575142
10105153953,969.3602324
10105153954,819.5517461
10105153955,1091.242754
10105153956,889.9152261
10105153957,858.6810327
10105153959,984.9038159
10105153960,923.6040035
10105153961,1011.054636
10105153962,1055.335178
10105153963,792.8415369
10105153964,979.0863793
10105153966,1039.42371
10105153968,1024.512229
10105153969,1089.282802
10105153970,1039.369957
10105154001,1008.288802
10105154002,996.9495804
10105154003,1001.911151
10105154004,1057.860352
10105154005,1076.573008
10105154006,1059.393634
10105154007,1086.288819
10105154008,989.206665
10105154009,984.655953
10105154010,974.0457832
10105154011,954.7765282
10105154012,1025.362787
10105154014,1091.570941
10105154015,1115.145726
10105154016,1066.37189
10105154017,1068.61292
10105154018,1071.89597
10105154019,1018.101533
10105154020,1071.310766
10105154021,1071.031028
10105154022,1077.324709
10105154023,1070.331633
10105154024,910.4566114
10105154025,1095.258803
10105154026,1018.671216
10105154027,1060.861388
10105154028,1080.556636
10105154029,1095.492475
10105154030,966.9416178
10105154031,986.0462953
10105154032,1005.414631
10105154033,1068.240512
10105154034,1110.676743
10105154035,1103.310651
10106154101,1051.759867
10106154102,935.2581821
10106154103,919.9548679
10106154104,959.8719965
10106154105,985.7665841
10106154106,1070.013077
10106154107,972.8457286
10106154108,1126.596358
10106154109,1069.175417
10106154111,1014.041214
10106154112,1021.206127
10106154113,1019.059921
10106154115,1163.230875
10106154117,1153.237539
10106154118,1103.601583
10106154201,1052.310029
10106154202,1045.919711
10106154203,1096.404484
10106154204,1044.361737
10106154206,994.7821896
10106154207,1090.131856
10106154208,1149.699924
10106154209,1142.770777
10106154210,1120.655759
10106154211,1140.883196
10106154212,1027.121943
10106154213,1145.762143
10106154216,1165.228872
10106154217,1210.503997
10106154219,997.0217417
10106154220,1010.639437
10106154222,1163.446276
10106154223,1137.337743
10106154224,1119.617772
10106154226,1142.071421
10106154227,1145.209228
10106154228,1125.475508
10106154229,1059.747404
10106154231,1121.462517
10106154232,1156.024543
10106154233,1204.197398
10106154234,1173.356117
10106154235,1138.096929
10106154236,1135.667945
10106154237,1130.976286
10106154238,1091.702253
10106154239,1142.735802
10106154240,1104.060927
10106154241,1177.892928
10106154242,1220.849435
10106154243,1124.61156
10106154301,892.5156795
10106154302,873.8404307
10106154303,938.3266864
10106154304,882.4599241
10106154305,884.9430547
10106154306,1031.985836
10106154307,770.5775211
10106154308,824.3065224
10106154309,1078.293537
10106154310,1080.527373
10106154311,832.5928659
10106154312,821.2686865
10106154313,841.6299979
10106154314,920.3775492
10106154315,979.228379
10106154316,998.5501605
10106154317,1068.525403
10106154318,833.6647713
10106154319,834.097849
10106154321,1079.659883
10106154322,1055.579989
10106154323,1085.480955
10106154324,990.9773254
10106154325,1046.866541
10106154326,1112.527315
10106154327,802.6657478
10106154328,1031.971427
10106154329,1031.134219
10106154330,989.607849
10106154401,1103.737011
10106154402,1005.332682
10106154403,1007.086083
10106154404,1016.53198
10106154405,972.0913141
10106154406,1025.214033
10106154408,1010.269969
10106154409,959.274571
10106154410,926.3871784
10106154411,1073.584905
10106154412,1047.942564
10106154413,879.9162695
10106154414,1032.592675
10106154415,1017.103785
10106154416,880.521648
10106154417,951.6164696
10106154418,1104.634608
10106154419,997.8202269
10106154420,1019.48714
10106154421,930.7425175
10106154422,1026.703582
10106154423,907.0857553
10201102802,1125.160155
